Date : 2022-06-20 14:59:09
Directory : c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots
Total : 184 files,  104852 codes, 3323 comments, 5732 blanks, all 113907 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\fonts\flexslider-icon.svg                                      | XML        |         19 |          0 |          0 |         19 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\fonts\fontawesome-webfont.svg                                  | XML        |        565 |          0 |          0 |        565 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\fonts\slick.svg                                                | XML        |         13 |          0 |          2 |         15 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\bootstrap.min.js                                            | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\custom.js                                                   | JavaScript |         98 |         10 |         26 |        134 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\imgfix.min.js                                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\jquery-2.1.0.min.js                                         | JavaScript |          3 |          1 |          0 |          4 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\jquery.counterup.min.js                                     | JavaScript |          1 |          7 |          0 |          8 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\popper.js                                                   | JavaScript |      1,161 |        986 |        298 |      2,445 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\scrollreveal.min.js                                         | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\js\waypoints.min.js                                            | JavaScript |          1 |          7 |          0 |          8 |
