"filename", "language", "HTML", "JavaScript", "CSS", "XML", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 2, 10, 64
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 69, 0, 0, 44, 11, 124
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 83, 0, 0, 11, 14, 108
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 55, 0, 0, 0, 8, 63
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_deprecate.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 5, 1, 11
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_float.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 152, 0, 0, 15, 26, 193
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 7, 5, 46
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_grid-framework.scss", "SCSS", 0, 0, 0, 0, 49, 0, 0, 8, 10, 67
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 10, 8, 52
